Row	RPPA Core Ab Name**	Ab Name Reported on Dataset	Gene Name	NCBI Entrez Gene ID	Company	Catalog 	Internal Ab ID	RRID	Species	Validation Status*	RPPA Dilution	Storage
1	14-3-3 beta/alpha	14-3-3-beta	YWHAB	7529	CST	9636	2382	AB_560823	Rabbit	Valid	 1:30	-20
2	14-3-3 epsilon	14-3-3-epsilon	YWHAE	7531	Santa Cruz	sc-23957	913	AB_626619	Mouse	Caution	 1:50	4
3	14-3-3 zeta [discontinued]	14-3-3-zeta	YWHAZ	7534	Santa Cruz	sc-1019	883	AB_2218378	Rabbit	Valid	 1:5000	4
4	4E-BP1	4E-BP1	EIF4EBP1	1978	CST	9452	2	AB_331692	Rabbit	Valid	 1:100	-20
5	4E-BP1 (phospho Ser65)	4E-BP1_pS65	EIF4EBP1	1978	CST	9456	3	AB_823413	Rabbit	Valid	 1:250	-20
6	4E-BP1 (phospho Thr37 Thr46)	4E-BP1_pT37_T46	EIF4EBP1	1978	CST	9459	6	AB_330985	Rabbit	Valid	 1:3000	-20
7	53BP1	53BP1	TP53BP1	7158	CST	4937	985	AB_10694558	Rabbit	Valid	 1:300	-20
469	A1Up	UBQLN4	UBQLN4	56893	Santa Cruz	sc-136145	2020	AB_2009286	Mouse	Caution	 1:125	4
10	AceCS1	AceCS1	ACSS2	55902	CST	3658	2372	AB_2222710	Rabbit	Valid	 1:3000	-20
9	Acetyl-CoA Carboxylase	ACC1	ACACA-B	"31, 32"	Epitomics/Abcam	1768-1/ab45174	14	AB_867475	Rabbit	Caution	 1:3000	-20
8	Acetyl-CoA Carboxylase (phospho Ser79)	ACC_pS79	ACACA-B	"31, 32"	CST	3661	13	AB_330337	Rabbit	Valid	 1:500	-20
12	ACSL1	ACSL1	ACSL1	2180	CST	9189	2367	AB_10891616	Rabbit	Valid	 1:500	-20
13	ACVRL1	ACVRL1	ACVRL1	94	Invitrogen	PA5-27081	2450	AB_2544557	Rabbit	Caution	 1:50	-20
14	ADAR1 [discontinued]	ADAR1	ADAR	103	Abcam	ab88574	1198	AB_2222658	Mouse	Valid	 1:100	-20
15	Akt	Akt	AKT1/2/3	"207, 208, 10000"	CST	4691	1084	AB_915783	Rabbit	Valid	 1:7500	-20
16	Akt (phospho Ser473)	Akt_pS473	AKT1/2/3	"207, 208, 10000"	CST	9271	230	AB_329825	Rabbit	Valid	 1:150	-20
17	Akt (phospho Thr308)	Akt_pT308	AKT1/2/3	"207, 208, 10000"	CST	2965	1154	AB_2255933	Rabbit	Valid	 1:250	-20
18	Akt1	Akt1	AKT1	207	CST	2938	2010	AB_915788	Rabbit	Valid	 1:1000	-20
19	Akt1 (phospho Ser473)	Akt1_pS473	AKT1	207	CST	9018	2008	AB_2629283	Rabbit	Valid	 1:500	-20
20	Akt2	Akt2	AKT2	208	CST	3063	1800	AB_2225186	Rabbit	Valid	 1:3000	-20
21	Akt2 (phospho Ser474)	Akt2_pS474	AKT2	208	CST	8599	2009	AB_2630347	Rabbit	Caution	 1:400	-20
22	ALKBH5	ALKBH5	ALKBH5	54890	Abcam	ab195377	2577	AB_2827986	Rabbit	Valid	 1:3000	-20
140	alpha-Tubulin (detyrosinated)	D-a-Tubulin	TUBA4A	"7277, 7278"	Abcam	ab48389	1379	AB_869990	Rabbit	Valid	 1:1500	-20
23	Ambra1 (phospho Ser52)	Ambra1_pS52	AMBRA1	55626	Millipore	ABC80	1630	AB_2750901	Rabbit	Caution	 1:150	4
24	AMPK alpha	AMPKa	PRKAA1-2	"5562, 5563"	CST	2532	39	AB_330331	Rabbit	Caution	 1:75	-20
25	AMPK alpha (phospho Thr172)	AMPKa_pT172	PRKAA1-2	"5562, 5563"	CST	2535	40	AB_331250	Rabbit	Caution	 1:100	-20
26	AMPK alpha 2 (phospho Ser345)	AMPK-a2_pS345	PRKAA2	5563	Abcam	ab129081	1351	AB_11155357	Rabbit	Valid	 1:200	-20
29	Androgen Receptor	AR	AR	367	CST	5153	2191	AB_10691711	Rabbit	Valid	 1:100	-20
27	Annexin I	Annexin-I	ANXA1	301	BD Biosciences	610066	1208	AB_397477	Mouse	Valid	 1:750	-20
28	Annexin VII	Annexin-VII	ANXA7	310	BD Biosciences	610668	1142	AB_397995	Mouse	Valid	 1:20	-20
30	A-Raf	A-Raf	ARAF	369	CST	4432	1217	AB_330813	Rabbit	Valid	 1:300	-20
31	A-Raf (phospho Ser299)	A-Raf_pS299	ARAF	369	Invitrogen	PA5-39728	2507	AB_2556279	Rabbit	Caution	 1:75	-20
32	ARID1A	ARID1A	ARID1A	8289	Sigma-Aldrich	HPA005456	1442	AB_1078205	Rabbit	Caution	 1:1000	-20
33	ASNS	ASNS	ASNS	440	Sigma-Aldrich	HPA029318	1560	AB_10602389	Rabbit	Valid	 1:500	-20
34	Atg3	Atg3	ATG3	64422	CST	3415	1612	AB_2059244	Rabbit	Valid	 1:20	-20
35	Atg4B	Atg4B	ATG4B	23192	CST	13507	1775	AB_2750642	Rabbit	Caution	 1:200	-20
36	Atg5	Atg5	ATG5	9474	CST	12994	1776	AB_2630393	Rabbit	Caution	 1:1000	-20
37	Atg7	Atg7	ATG7	10533	CST	8558	1613	AB_10831194	Rabbit	Valid	 1:250	-20
38	ATM	ATM	ATM	472	CST	2873	1363	AB_2062659	Rabbit	Valid	 1:250	-20
39	ATM (phospho Ser1981)	ATM_pS1981	ATM	472	CST	13050	2447	AB_2798100	Rabbit	Valid	 1:20	-20
40	ATP5A	ATP5A	ATP5F1A	498	Abcam	ab14748	1289	AB_301447	Mouse	Caution	 1:50	4
41	ATP5H	ATP5H	ATP5PD	10476	Invitrogen	PA5-43776	2451	AB_2610004	Rabbit	Valid	 1:200	-20
11	ATP-Citrate Lyase (phospho Ser455)	ACLY_pS455	ACLY	47	CST	4331	2368	AB_2257987	Rabbit	Valid	 1:100	-20
42	ATR	ATR	ATR	545	CST	13934	2456	AB_2798347	Rabbit	Valid	 1:250	-20
43	ATR (phospho Ser428)	ATR_pS428	ATR	545	Abcam	ab178407	1795	AB_2721899	Rabbit	Caution	 1:500	-20
44	ATRX	ATRX	ATRX	546	Abcam	ab97508	1569	AB_10680289	Rabbit	Caution	 1:1000	-20
45	Aurora A	Aurora-A	AURKA	6790	CST	14475	2332	AB_2665504	Rabbit	Caution	 1:50	-20
46	Aurora A-C (phospho Thr288 Thr232 Thr198)	Aurora-ABC_pT288_pT232_pT198	AURKA-C	"6790, 9212, 6795"	CST	2914	2333	AB_2061631	Rabbit	Caution	 1:100	-20
47	Aurora B	Aurora-B	AURKB	9212	Invitrogen	MA5-27890	2512	AB_2744944	Rabbit	Valid	 1:1500	-20
48	Axl	Axl	AXL	558	CST	8661	1271	AB_11217435	Rabbit	Valid	 1:500	-20
49	B7-H3	B7-H3	CD276	80381	CST	14058	1725	AB_2750877	Rabbit	Caution	 1:150	-20
50	B7-H4	B7-H4	VTCN1	79679	CST	14572	1726	AB_2750878	Rabbit	Caution	 1:30	-20
52	Bad (phospho Ser112)	Bad_pS112	BAD	572	CST	9291	63	AB_331417	Rabbit	Valid	 1:50	-20
53	Bak [special order]	Bak	BAK1	578	Epitomics/Abcam	1542-1/ab32371	71	AB_725624	Rabbit	Caution	 1:400	-20
54	BAP1	BAP1	BAP1	8314	Santa Cruz	sc-28383	1207	AB_626723	Mouse	Valid	 1:50	4
55	Bax	Bax	BAX	581	CST	2772	73	AB_10695870	Rabbit	Valid	 1:100	-20
58	Bcl-2	Bcl2	BCL2	596	CST	3498	2414	AB_725644	Rabbit	Caution	 1:50	-20
59	Bcl2A1	Bcl2A1	BCL2A1	597	Abnova	PAB8528	1299	AB_1672563	Rabbit	Valid	 1:250	-20
60	Bcl-xL	Bcl-xL	BCL2L1	598	CST	2762	85	AB_10694844	Rabbit	Valid	 1:100	-20
61	Beclin 1	Beclin	BECN1	8678	ThermoFisher	PA1-16857	2269	AB_568459	Rabbit	Caution	 1:500	4
51	beta-Actin	b-Actin	ACTB	60	CST	8457	2449	AB_10950489	Rabbit	Caution	 1:75	-20
56	beta-Catenin	b-Catenin	CTNNB1	1499	CST	9562	75	AB_331149	Rabbit	Valid	 1:1500	-20
57	beta-Catenin (phospho Thr41 Ser45)	b-Catenin_pT41_S45	CTNNB1	1499	CST	9565	1170	AB_331731	Rabbit	Valid	 1:20	-20
62	Bid	Bid	BID	637	CST	2002	89	AB_10692485	Rabbit	Caution	 1:500	-20
63	Bim	Bim	BCL2L11	10018	CST	2933	1171	AB_1030947	Rabbit	Valid	 1:500	-20
64	BiP/GRP78	BiP-GRP78	HSPA5	3309	BD Biosciences	610978	1311	AB_398291	Mouse	Caution	 1:37	-20
66	B-Raf	B-Raf	BRAF	673	CST	14814	2083	AB_2750887	Rabbit	Caution	 1:500	-20
67	B-Raf (phospho Ser445)	B-Raf_pS445	BRAF	673	CST	2696	94	AB_390721	Rabbit	Valid	 1:75	-20
68	BRCA1	BRCA1	BRCA1	672	Millipore	OP92	898	AB_2750876	Mouse	Caution	 1:1000	4
69	BRD4	BRD4	BRD4	23476	CST	13440	1567	AB_2687578	Rabbit	Valid	 1:1500	-20
70	CA9/CAIX	CA9	CA9	768	CST	5649	1990	AB_10706355	Rabbit	Caution	 1:20	-20
71	c-Abl	c-Abl	ABL1	25	CST	2862	1565	AB_2257757	Rabbit	Valid	 1:40	-20
72	c-Abl (phospho Tyr412)	c-Abl_pY412	ABL1	25	CST	2865	1146	AB_331381	Rabbit	Caution	 1:60	-20
73	Cadherin-6	Cadherin-6	CDH6	1004	CST	48111	2630	AB_2799334	Rabbit	Caution	 1:250	-20
74	Calnexin	Calnexin	CANX	821	CST	2679	2407	AB_2228381	Rabbit	Valid	 1:200	-20
75	Caspase 3 (cleaved Asp175)	Caspase-3-cleaved	CASP3	836	CST	9661	1003	AB_2341188	Rabbit	Caution	 1:37	-20
76	Caspase 7 (cleaved Asp198)	Caspase-7-cleaved	CASP7	840	CST	9491	109	AB_2068144	Rabbit	Caution	 1:100	-20
78	Caspase 8 (cleaved Asp391)	Caspase-8-cleaved	CASP8	841	CST	9496	1165	AB_561381	Rabbit	Caution	 1:30	-20
77	Caspase-8	Caspase-8	CASP8	841	CST	9746	951	AB_2275120	Mouse	Red_Blob	 1:150	-20
79	Caveolin-1	Caveolin-1	CAV1	857	CST	3238	114	AB_2072166	Rabbit	Valid	 1:3000	-20
80	CD134/OX40	CD134	TNFRSF4	7293	CST	61637	2529	AB_2799611	Rabbit	Valid	 1:30	-20
81	CD171	CD171	L1CAM	3897	Biolegend	826701	1737	AB_2564904	Mouse	Valid	 1:150	4
82	CD2	CD2	CD2	914	Santa Cruz	sc-18907	1923	AB_626961	Mouse	Caution	 1:20	4
83	CD20	CD20	MS4A1	931	Invitrogen	PA5-16701	2383	AB_10980806	Rabbit	Caution	 1:50	4
84	CD26/DPP4	CD26	DPP4	1803	Abcam	ab28340	1308	AB_726291	Rabbit	Valid	 1:1000	-20
85	CD29	CD29	ITGB1	3688	BD Biosciences	610467	1206	AB_2128060	Mouse	Valid	 1:20	-20
86	CD31	CD31	PECAM1	5175	Dako	M0823	127	AB_2114471	Mouse	Valid	 1:15	4
87	CD38	CD38	CD38	952	Abcam	ab108403	2174	AB_10890803	Rabbit	Caution	 1:30	-20
88	CD4	CD4	CD4	920	Abcam	ab133616	2104	AB_2750883	Rabbit	Valid	 1:20	-20
89	CD44	CD44	CD44	960	CST	37259	2384	AB_2750879	Rabbit	Caution	 1:200	-20
90	CD45/T200/LCA	CD45	PTPRC	5788	DAKO	M070101-2	1352	AB_2750861	Mouse	Valid	 1:37	4
91	CD49b	CD49b	ITGA2	3673	BD Biosciences	611016	937	AB_398329	Mouse	Valid	 1:20	-20
92	CD5	CD5	CD5	921	Santa Cruz	sc-393087	1924	AB_2750895	Mouse	Caution	 1:250	4
