,peptide_target
1,1433BETA
2,1433EPSILON
3,1433ZETA
4,4EBP1
5,4EBP1_pS65
6,4EBP1_pT37T46
7,4EBP1_pT70
8,53BP1
9,ACC_pS79
10,ACC1
11,AceCS1
12,ACETYLATUBULINLYS40
13,ACSL1
14,ACVRL1
15,ADAR1
16,AKT
17,AKT_pS473
18,AKT_pT308
19,Akt2
20,Akt2_pS474
21,ALKBH5
22,ALPHACATENIN
23,Ambra1_pS52
24,AMPK-a2_pS345
25,AMPKALPHA
26,AMPKALPHA_pT172
27,ANNEXIN1
28,ANNEXINVII
29,AR
30,ARAF
31,ARAF_pS299
32,ARID1A
33,ASNS
34,Atg3
35,Atg4B
36,Atg5
37,Atg7
38,ATM
39,ATM_pS1981
40,ATP5A
41,ATP5H
42,ATR
43,ATR_pS428
44,ATRX
45,Aurora-A
46,Aurora-ABC_pT288_pT232_pT198
47,Aurora-B
48,AXL
49,b-Actin
50,b-Catenin_pT41_S45
51,B7-H3
52,B7-H4
53,BAD_pS112
54,BAK
55,BAP1C4
56,BAX
57,BCL2
58,BCL2A1
59,BCLXL
60,BECLIN
61,BETACATENIN
62,BID
63,BIM
64,BiP-GRP78
65,BMK1-Erk5_pT218_Y220
66,BRAF
67,BRAF_pS445
68,BRCA2
69,BRD4
70,c-Abl_pY412
71,c-IAP2
72,CA9
73,CABL
74,Calnexin
75,Caspase-8-cleaved
76,CASPASE3
77,CASPASE7CLEAVEDD198
78,CASPASE8
79,CASPASE9
80,CAVEOLIN1
81,CD134
82,CD171
83,CD20
84,CD26
85,CD29
86,CD31
87,CD38
88,CD4
89,CD44
90,CD45
91,CD49B
92,CD86
93,cdc25C
94,Cdc42
95,Cdc6
96,CDK1
97,CDK1_pT14
98,CDK1_pY15
99,CDT1
100,cGAS
101,CHD1L
102,CHK1
103,CHK1_pS296
104,CHK1_pS345
105,CHK2
106,CHK2_pT68
107,CIAP
108,CIITA
109,CJUN_pS73
110,CKIT
111,CLAUDIN7
112,CMET
113,CMET_pY1235
