,genes,hgnc_id
ENSG00000000003,TSPAN6,HGNC:11858
ENSG00000000005,TNMD,HGNC:17757
ENSG00000000419,DPM1,HGNC:3005
ENSG00000000457,SCYL3,HGNC:19285
ENSG00000000460,C1orf112,HGNC:25565
ENSG00000000938,FGR,HGNC:3697
ENSG00000000971,CFH,HGNC:4883
ENSG00000001036,FUCA2,HGNC:4008
ENSG00000001084,GCLC,HGNC:4311
ENSG00000001167,NFYA,HGNC:7804
ENSG00000001460,STPG1,HGNC:28070
ENSG00000001461,NIPAL3,HGNC:25233
ENSG00000001497,LAS1L,HGNC:25726
ENSG00000001561,ENPP4,HGNC:3359
ENSG00000001617,SEMA3F,HGNC:10728
ENSG00000001626,CFTR,HGNC:1884
ENSG00000001629,ANKIB1,HGNC:22215
ENSG00000001630,CYP51A1,HGNC:2649
ENSG00000001631,KRIT1,HGNC:1573
ENSG00000002016,RAD52,HGNC:9824
ENSG00000002330,BAD,HGNC:936
ENSG00000002549,LAP3,HGNC:18449
ENSG00000002586,CD99,HGNC:7082
ENSG00000002586.20_PAR_Y,CD99,HGNC:7082
ENSG00000002587,HS3ST1,HGNC:5194
ENSG00000002726,AOC1,HGNC:80
ENSG00000002745,WNT16,HGNC:16267
ENSG00000002746,HECW1,HGNC:22195
ENSG00000002822,MAD1L1,HGNC:6762
ENSG00000002834,LASP1,HGNC:6513
ENSG00000002919,SNX11,HGNC:14975
ENSG00000002933,TMEM176A,HGNC:24930
ENSG00000003056,M6PR,HGNC:6752
ENSG00000003096,KLHL13,HGNC:22931
ENSG00000003137,CYP26B1,HGNC:20581
ENSG00000003147,ICA1,HGNC:5343
ENSG00000003249,DBNDD1,HGNC:28455
ENSG00000003393,ALS2,HGNC:443
ENSG00000003400,CASP10,HGNC:1500
ENSG00000003402,CFLAR,HGNC:1876
ENSG00000003436,TFPI,HGNC:11760
ENSG00000003509,NDUFAF7,HGNC:28816
ENSG00000003756,RBM5,HGNC:9902
ENSG00000003987,MTMR7,HGNC:7454
ENSG00000003989,SLC7A2,HGNC:11060
ENSG00000004059,ARF5,HGNC:658
ENSG00000004139,SARM1,HGNC:17074
ENSG00000004142,POLDIP2,HGNC:23781
ENSG00000004399,PLXND1,HGNC:9107
ENSG00000004455,AK2,HGNC:362
ENSG00000004468,CD38,HGNC:1667
ENSG00000004478,FKBP4,HGNC:3720
ENSG00000004487,KDM1A,HGNC:29079
ENSG00000004534,RBM6,HGNC:9903
ENSG00000004660,CAMKK1,HGNC:1469
ENSG00000004700,RECQL,HGNC:9948
ENSG00000004766,VPS50,HGNC:25956
ENSG00000004776,HSPB6,HGNC:26511
ENSG00000004777,ARHGAP33,HGNC:23085
